"Genre","Decade","mode_char","mode","key","Artist","Song.Title","Year","Rank","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration","key_character"
"Alternative","90s","minor",0,4,"Gin Blossoms","Follow You Down",1996,15,0.461,0.924,-7.047,0.0449,0.0123,0,0.0342,0.68,155.829,4,4.50111666666667,"E"
"Alternative","2010s","minor",0,5,"Foster the People","Pumped Up Kicks",2011,13,0.733,0.71,-5.849,0.0292,0.145,0.115,0.0956,0.965,127.975,4,3.99333333333333,"F/E#"
"Alternative","2010s","minor",0,9,"Fall Out Boy","My Songs Know What You Did in the Dark (Light Em Up)",2013,40,0.558,0.924,-4.341,0.064,0.0271,3.32e-06,0.537,0.567,151.99,4,3.11378333333333,"A"
"Alternative","2010s","major",1,7,"Billie Eilish","Bad Guy",2019,4,0.701,0.425,-10.965,0.375,0.328,0.13,0.1,0.562,135.128,4,3.2348,"G"
"Alternative","90s","major",1,8,"Alanis Morissette","You Learn",1996,29,0.401,0.706,-7.554,0.0404,0.00415,0,0.0916,0.458,168.669,4,3.994,"G#/Ab"
"Alternative","2000s","major",1,9,"Snow Patrol","Chasing Cars",2006,29,0.56,0.595,-4.53,0.0274,0.199,6.47e-05,0.132,0.144,104.011,4,4.466,"A"
"Alternative","2000s","major",1,0,"Kings of Leon","Use Somebody",2009,14,0.276,0.715,-5.356,0.0432,0.00552,0.000417,0.201,0.173,137.028,4,3.846,"C/B#"
"Alternative","90s","major",1,4,"Red Hot Chili Peppers","Under the Bridge",1992,8,0.559,0.345,-13.496,0.0459,0.0576,0.000105,0.141,0.458,84.581,4,4.40511666666667,"E"
"Alternative","2000s","minor",0,9,"Panic! at the Disco","I Write Sins Not Tragedies",2006,20,0.569,0.83,-4.106,0.14,0.0807,0,0.114,0.609,170.094,4,3.11058333333333,"A"
"Alternative","90s","major",1,0,"Third Eye Blind","Jumper",1999,40,0.599,0.543,-9.226,0.0302,0.0129,0.00204,0.291,0.624,91.105,4,4.54955,"C/B#"
"Alternative","2000s","major",1,4,"The All-American Rejects","Gives You Hell",2009,10,0.718,0.691,-6.44,0.0387,0.0159,0,0.0627,0.552,100.008,4,3.55178333333333,"E"
"Alternative","2000s","minor",0,5,"Smash Mouth","Then the Morning Comes",2000,48,0.729,0.881,-5.024,0.0283,0.0231,0,0.0872,0.963,118.58,4,3.03778333333333,"F/E#"
"Alternative","2020s","minor",0,6,"Tones and I","Dance Monkey",2020,14,0.824,0.588,-6.4,0.0924,0.692,0.000104,0.149,0.513,98.027,4,3.49063333333333,"F#/Gb"
"Alternative","2000s","major",1,8,"Green Day","Boulevard of Broken Dreams",2005,7,0.496,0.682,-4.095,0.0294,0.00552,2.94e-05,0.0589,0.474,167.06,4,4.37221666666667,"G#/Ab"
"Alternative","2010s","major",1,7,"Billie Eilish","Bad Guy",2019,4,0.701,0.425,-10.965,0.375,0.328,0.13,0.1,0.562,135.128,4,3.2348,"G"
"Alternative","2010s","major",1,5,"Tove Lo","Habits (Stay High)",2014,32,0.729,0.65,-3.539,0.0313,0.0702,6.69e-05,0.0829,0.347,110.02,4,3.486,"F/E#"
"Alternative","2010s","major",1,9,"Bastille","Pompeii",2014,12,0.679,0.715,-6.383,0.0407,0.0755,0,0.271,0.571,127.435,4,3.56913333333333,"A"
"Alternative","2010s","major",1,1,"Lewis Capaldi","Someone You Loved",2019,27,0.501,0.405,-5.679,0.0319,0.751,0,0.105,0.446,109.891,4,3.03601666666667,"C#/Db"
"Alternative","2000s","major",1,8,"Green Day","Holiday",2005,39,0.552,0.89,-3.409,0.0342,0.000143,0,0.888,0.716,146.525,4,3.878,"G#/Ab"
"Alternative","2010s","major",1,6,"Lorde","Team",2014,18,0.69,0.578,-7.436,0.0929,0.167,0,0.305,0.416,99.961,4,3.21765,"F#/Gb"
"Alternative","2010s","minor",0,4,"Twenty One Pilots","Heathens",2016,21,0.732,0.396,-9.348,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,4,3.26533333333333,"E"
"Alternative","2010s","major",1,2,"Imagine Dragons","It's Time",2013,47,0.656,0.884,-4.748,0.0372,0.0162,0,0.145,0.86,105.009,4,3.96645,"D"
"Alternative","90s","major",1,0,"Red Hot Chili Peppers","Scar Tissue",1999,34,0.595,0.717,-4.803,0.0295,0.0779,0.00274,0.108,0.547,88.969,4,3.59845,"C/B#"
"Alternative","2010s","minor",0,10,"Imagine Dragons","Whatever It Takes",2018,37,0.672,0.655,-5.021,0.0311,0.0362,0,0.117,0.556,134.945,4,3.354,"A#/Bb"
"Alternative","2000s","major",1,2,"Jimmy Eat World","The Middle",2002,14,0.643,0.849,-5.428,0.0526,0.0371,0,0.058,0.903,162.152,4,2.76421666666667,"D"
"Alternative","2020s","minor",0,6,"Billie Eilish","Everything I Wanted",2020,18,0.704,0.225,-14.454,0.0994,0.902,0.657,0.106,0.243,120.006,4,4.09043333333333,"F#/Gb"
"Alternative","90s","minor",0,9,"R.E.M.","Losing My Religion",1991,33,0.666,0.855,-5.051,0.0295,0.179,1.2e-06,0.0987,0.803,125.639,4,4.47378333333333,"A"
"Alternative","2020s","minor",0,11,"Billie Eilish","Therefore I Am",2021,25,0.889,0.34,-7.773,0.0697,0.218,0.13,0.055,0.716,94.009,4,2.90535,"B"
"Alternative","2000s","major",1,4,"Metro Station","Shake It",2008,32,0.618,0.955,-3.836,0.0798,0.00221,3.09e-06,0.486,0.79,150.034,4,2.99911666666667,"E"
"Alternative","2000s","major",1,0,"Five for Fighting","Superman (It's Not Easy)",2002,46,0.382,0.416,-9.303,0.0302,0.0733,0,0.0719,0.125,102.089,4,3.69488333333333,"C/B#"
"Alternative","2010s","major",1,5,"Panic! at the Disco","High Hopes",2019,11,0.579,0.904,-2.729,0.0618,0.193,0,0.064,0.681,82.014,4,3.18245,"F/E#"
"Alternative","2000s","major",1,4,"Hoobastank","The Reason",2004,6,0.472,0.671,-4.649,0.029,0.0129,0,0.159,0.0681,82.952,4,3.88,"E"
"Alternative","2010s","major",1,6,"Halsey","Without Me",2019,3,0.752,0.488,-7.05,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,4,3.36101666666667,"F#/Gb"
"Alternative","2010s","major",1,1,"Awolnation","Sail",2013,25,0.826,0.436,-9.583,0.0558,0.441,0.615,0.0964,0.272,119.051,4,4.31821666666667,"C#/Db"
"Country","70s","major",1,9,"Sammy Johns","Chevy Van",1975,48,0.449,0.547,-12.259,0.0351,0.457,0,0.0737,0.74,152.211,4,2.98333333333333,"A"
"Country","80s","major",1,2,"Willie Nelson","Always on My Mind",1982,22,0.524,0.261,-13.868,0.0272,0.755,0.00105,0.144,0.201,73.36,4,3.54445,"D"
