Artist,Song Title,Year,Rank,Genre,Decade,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Aaliyah,Try Again,2000,12,R&B/Soul,2000s,0.794,0.662,6,-4.913,0,0.249,0.0789,0,0.0937,0.683,93.053,audio_features,6Wnlq1Pu3I0BajLvxn05Vr,spotify:track:6Wnlq1Pu3I0BajLvxn05Vr,https://api.spotify.com/v1/tracks/6Wnlq1Pu3I0BajLvxn05Vr,https://api.spotify.com/v1/audio-analysis/6Wnlq1Pu3I0BajLvxn05Vr,284640,4
ABBA,Dancing Queen,1977,12,Pop,70s,0.543,0.87,9,-6.514,1,0.0428,0.358,9.39e-4,0.792,0.754,100.804,audio_features,0GjEhVFGZW8afUYGChu3Rr,spotify:track:0GjEhVFGZW8afUYGChu3Rr,https://api.spotify.com/v1/tracks/0GjEhVFGZW8afUYGChu3Rr,https://api.spotify.com/v1/audio-analysis/0GjEhVFGZW8afUYGChu3Rr,230400,4
ABBA,Take a Chance on Me,1978,32,Pop,70s,0.684,0.675,11,-8.123,1,0.0257,0.163,0,0.242,0.924,107.064,audio_features,5BckPAYcKEJuYs1eV1BHHe,spotify:track:5BckPAYcKEJuYs1eV1BHHe,https://api.spotify.com/v1/tracks/5BckPAYcKEJuYs1eV1BHHe,https://api.spotify.com/v1/audio-analysis/5BckPAYcKEJuYs1eV1BHHe,243933,4
ABBA,The Winner Takes It All,1981,23,Pop,80s,0.454,0.788,6,-6.748,1,0.0371,0.574,7.66e-4,0.0859,0.52,126.15,audio_features,3oEkrIfXfSh9zGnE7eBzSV,spotify:track:3oEkrIfXfSh9zGnE7eBzSV,https://api.spotify.com/v1/tracks/3oEkrIfXfSh9zGnE7eBzSV,https://api.spotify.com/v1/audio-analysis/3oEkrIfXfSh9zGnE7eBzSV,294720,4
ABBA,Waterloo,1974,49,Pop,70s,0.445,0.949,2,-4.682,1,0.0471,0.395,8.18e-6,0.0902,0.653,147.604,audio_features,3Dy4REq8O09IlgiwuHQ3sk,spotify:track:3Dy4REq8O09IlgiwuHQ3sk,https://api.spotify.com/v1/tracks/3Dy4REq8O09IlgiwuHQ3sk,https://api.spotify.com/v1/audio-analysis/3Dy4REq8O09IlgiwuHQ3sk,168960,4
Ace Cannon,Tuff,1962,40,Country,60s,0.59,0.25,10,-9.96,1,0.0568,0.397,0.827,0.0868,0.796,232.473,audio_features,3c5Rv4XYKsAN4TV4f7hUUe,spotify:track:3c5Rv4XYKsAN4TV4f7hUUe,https://api.spotify.com/v1/tracks/3c5Rv4XYKsAN4TV4f7hUUe,https://api.spotify.com/v1/audio-analysis/3c5Rv4XYKsAN4TV4f7hUUe,136667,3
Ace of Base,All That She Wants,1994,9,Pop,90s,0.798,0.625,11,-9.689,1,0.0548,0.00547,7.98e-5,0.103,0.858,93.764,audio_features,6kWJvPfC4DgUpRsXKNa9z9,spotify:track:6kWJvPfC4DgUpRsXKNa9z9,https://api.spotify.com/v1/tracks/6kWJvPfC4DgUpRsXKNa9z9,https://api.spotify.com/v1/audio-analysis/6kWJvPfC4DgUpRsXKNa9z9,211213,4
Ace of Base,The Sign,1994,1,Pop,90s,0.808,0.786,4,-6.897,0,0.0447,0.00928,0.0701,0.0574,0.899,96.987,audio_features,0hrBpAOgrt8RXigk83LLNE,spotify:track:0hrBpAOgrt8RXigk83LLNE,https://api.spotify.com/v1/tracks/0hrBpAOgrt8RXigk83LLNE,https://api.spotify.com/v1/audio-analysis/0hrBpAOgrt8RXigk83LLNE,191240,4
Acker Bilk,Stranger on the Shore,1962,1,Jazz,60s,0.307,0.322,10,-11.944,1,0.0361,0.94,0.727,0.104,0.275,94.774,audio_features,1DiQbxOHSGdfeRNZ2YFfE2,spotify:track:1DiQbxOHSGdfeRNZ2YFfE2,https://api.spotify.com/v1/tracks/1DiQbxOHSGdfeRNZ2YFfE2,https://api.spotify.com/v1/audio-analysis/1DiQbxOHSGdfeRNZ2YFfE2,176333,4
Adam Lambert,Whataya Want from Me,2010,45,Pop,2010s,0.44,0.683,11,-4.732,0,0.0489,0.00706,0,0.0593,0.445,185.948,audio_features,2rDwdvBma1O1eLzo29p2cr,spotify:track:2rDwdvBma1O1eLzo29p2cr,https://api.spotify.com/v1/tracks/2rDwdvBma1O1eLzo29p2cr,https://api.spotify.com/v1/audio-analysis/2rDwdvBma1O1eLzo29p2cr,227320,4
