,Artist Name,Song Title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
128,Taylor Swift,Shake It Off,0.647,0.785,7.0,-5.414,1.0,0.165,0.0561,0.0,0.148,0.943,160.015,audio_features,5xTtaWoae3wi06K5WfVUUH,spotify:track:5xTtaWoae3wi06K5WfVUUH,https://api.spotify.com/v1/tracks/5xTtaWoae3wi06K5WfVUUH,https://api.spotify.com/v1/audio-analysis/5xTtaWoae3wi06K5WfVUUH,219200.0,4.0
129,Nico & Vinz,Am I Wrong,0.729,0.675,8.0,-6.003,1.0,0.0312,0.175,1.58e-06,0.55,0.779,119.968,audio_features,1fidCEsYlaVE3pHwKCvpFZ,spotify:track:1fidCEsYlaVE3pHwKCvpFZ,https://api.spotify.com/v1/tracks/1fidCEsYlaVE3pHwKCvpFZ,https://api.spotify.com/v1/audio-analysis/1fidCEsYlaVE3pHwKCvpFZ,245867.0,4.0
130,DJ Snake and Lil Jon,Turn Down for What,0.728,0.776,9.0,-4.914,1.0,0.0454,0.00501,0.75,0.0893,0.0375,100.011,audio_features,6OM1Nm9IZMWjJ0ACrBFICu,spotify:track:6OM1Nm9IZMWjJ0ACrBFICu,https://api.spotify.com/v1/tracks/6OM1Nm9IZMWjJ0ACrBFICu,https://api.spotify.com/v1/audio-analysis/6OM1Nm9IZMWjJ0ACrBFICu,214065.0,4.0
131,A Great Big World and Christina Aguilera,Say Something,0.451,0.314,2.0,-6.188,1.0,0.0337,0.887,0.0,0.408,0.151,141.772,audio_features,1aXEPQFdlSW7pG4AUmxnL6,spotify:track:1aXEPQFdlSW7pG4AUmxnL6,https://api.spotify.com/v1/tracks/1aXEPQFdlSW7pG4AUmxnL6,https://api.spotify.com/v1/audio-analysis/1aXEPQFdlSW7pG4AUmxnL6,28160.0,3.0
132,Lorde,Team,0.69,0.578,6.0,-7.436,1.0,0.0929,0.167,0.0,0.305,0.416,99.961,audio_features,3G6hD9B2ZHOsgf4WfNu7X1,spotify:track:3G6hD9B2ZHOsgf4WfNu7X1,https://api.spotify.com/v1/tracks/3G6hD9B2ZHOsgf4WfNu7X1,https://api.spotify.com/v1/audio-analysis/3G6hD9B2ZHOsgf4WfNu7X1,193059.0,4.0
133,Passenger,Let Her Go,0.479,0.545,7.0,-7.346,1.0,0.0688,0.365,0.0,0.0963,0.243,74.897,audio_features,1KxwZYyzWNyZSRyErj2ojT,spotify:track:1KxwZYyzWNyZSRyErj2ojT,https://api.spotify.com/v1/tracks/1KxwZYyzWNyZSRyErj2ojT,https://api.spotify.com/v1/audio-analysis/1KxwZYyzWNyZSRyErj2ojT,252733.0,4.0
134,Lorde,Royals,0.674,0.428,7.0,-9.504,1.0,0.122,0.121,0.0,0.132,0.337,84.878,audio_features,2dLLR6qlu5UJ5gk0dKz0h3,spotify:track:2dLLR6qlu5UJ5gk0dKz0h3,https://api.spotify.com/v1/tracks/2dLLR6qlu5UJ5gk0dKz0h3,https://api.spotify.com/v1/audio-analysis/2dLLR6qlu5UJ5gk0dKz0h3,190185.0,4.0
135,Idina Menzel,Let It Go,0.543,0.485,8.0,-6.85,1.0,0.0305,0.558,0.0,0.12,0.371,136.961,audio_features,0qcr5FMsEO85NAQjrlDRKo,spotify:track:0qcr5FMsEO85NAQjrlDRKo,https://api.spotify.com/v1/tracks/0qcr5FMsEO85NAQjrlDRKo,https://api.spotify.com/v1/audio-analysis/0qcr5FMsEO85NAQjrlDRKo,223840.0,4.0
136,Avicii,Wake Me Up,0.532,0.783,2.0,-5.697,1.0,0.0523,0.0038,0.0012,0.161,0.643,124.08,audio_features,0nrRP2bk19rLc0orkWPQk2,spotify:track:0nrRP2bk19rLc0orkWPQk2,https://api.spotify.com/v1/tracks/0nrRP2bk19rLc0orkWPQk2,https://api.spotify.com/v1/audio-analysis/0nrRP2bk19rLc0orkWPQk2,247427.0,4.0
137,Imagine Dragons,Demons,0.505,0.71,3.0,-3.015,1.0,0.0321,0.19,0.00025,0.329,0.428,89.938,audio_features,3LlAyCYU26dvFZBDUIMb7a,spotify:track:3LlAyCYU26dvFZBDUIMb7a,https://api.spotify.com/v1/tracks/3LlAyCYU26dvFZBDUIMb7a,https://api.spotify.com/v1/audio-analysis/3LlAyCYU26dvFZBDUIMb7a,175200.0,4.0
138,One Direction,Story of My Life,0.6,0.663,3.0,-5.802,1.0,0.0477,0.225,0.0,0.119,0.286,121.07,audio_features,4nVBt6MZDDP6tRVdQTgxJg,spotify:track:4nVBt6MZDDP6tRVdQTgxJg,https://api.spotify.com/v1/tracks/4nVBt6MZDDP6tRVdQTgxJg,https://api.spotify.com/v1/audio-analysis/4nVBt6MZDDP6tRVdQTgxJg,245493.0,4.0
139,Sia,Chandelier,0.399,0.787,1.0,-2.88,1.0,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,audio_features,2s1sdSqGcKxpPr5lCl7jAV,spotify:track:2s1sdSqGcKxpPr5lCl7jAV,https://api.spotify.com/v1/tracks/2s1sdSqGcKxpPr5lCl7jAV,https://api.spotify.com/v1/audio-analysis/2s1sdSqGcKxpPr5lCl7jAV,216120.0,5.0
140,Maroon 5,Maps,0.742,0.713,1.0,-5.522,0.0,0.0303,0.0205,0.0,0.059,0.879,120.032,audio_features,4gbVRS8gloEluzf0GzDOFc,spotify:track:4gbVRS8gloEluzf0GzDOFc,https://api.spotify.com/v1/tracks/4gbVRS8gloEluzf0GzDOFc,https://api.spotify.com/v1/audio-analysis/4gbVRS8gloEluzf0GzDOFc,189960.0,4.0
141,American Authors,Best Day of My Life,0.673,0.902,2.0,-2.392,1.0,0.0346,0.0591,0.000262,0.0558,0.538,100.012,audio_features,5Hroj5K7vLpIG4FNCRIjbP,spotify:track:5Hroj5K7vLpIG4FNCRIjbP,https://api.spotify.com/v1/tracks/5Hroj5K7vLpIG4FNCRIjbP,https://api.spotify.com/v1/audio-analysis/5Hroj5K7vLpIG4FNCRIjbP,194240.0,4.0
142,Tove Lo,Habits (Stay High),0.729,0.65,5.0,-3.539,1.0,0.0313,0.0702,6.69e-05,0.0829,0.347,110.02,audio_features,14OxJlLdcHNpgsm4DRwDOB,spotify:track:14OxJlLdcHNpgsm4DRwDOB,https://api.spotify.com/v1/tracks/14OxJlLdcHNpgsm4DRwDOB,https://api.spotify.com/v1/audio-analysis/14OxJlLdcHNpgsm4DRwDOB,209160.0,4.0
143,Calvin Harris,Summer,0.596,0.856,4.0,-3.556,0.0,0.0346,0.0211,0.0178,0.141,0.743,127.949,audio_features,6YUTL4dYpB9xZO5qExPf05,spotify:track:6YUTL4dYpB9xZO5qExPf05,https://api.spotify.com/v1/tracks/6YUTL4dYpB9xZO5qExPf05,https://api.spotify.com/v1/audio-analysis/6YUTL4dYpB9xZO5qExPf05,222533.0,4.0
